phrase,count,type
taylor,2304,tsr
swift,1683,tsr
swiftie,1611,tsr
nan,1484,msc
fan,1078,mscf
account,736,mscf
eras,667,tsr
since,552,mscf
stan,506,mscf
tour,504,tsr
updates,433,mscf
tnx,428,tsr
showgirl,423,tsr
music,410,msc
life,373,tsr
news,372,msc
turn,326,msc
sports,307,msc
love,302,tsr
usa,295,loc
com,288,msc
charts,243,msc
new,243,tsr
source,240,msc
notifications,234,msc
version,218,tsr
time,215,msc
follow,209,mscf
business,188,msc
pop,188,mscf
enthusiast,186
era,181,tsr
free,179,msc
girl,176,msc
world,176,msc
tweets,172,mscf
swifties,161,tsr
dni,161,mscf
best,154,mscf
lover,148,tsr
daily,144,mscf
gain,144,mscf
get,140,msc
never,139,mscf
met,138,mscf
daughter,134,tsr
like,134,mscf
london,131,loc
eldest,130,tsr
sabrina,130,oa
miss,129,mscf
chiefs,129,oa
tay,129,tsr
york,128,loc
album,127,mscf
data,126,msc
tsx,122,tsr
things,121,mscf
everything,121,tsr
united,119,msc
rep,117,mscf
back,116,mscf
awards,115,msc
ifb,112,mscf
one,109,msc
mutuals,109,mscf
affiliated,108,msc
brasil,102,loc
city,102,loc
team,101,mscf
saw,101,mscf
mom,100,msc
always,100,tsr
live,99,msc
post,99,mscf
spotify,97,msc
show,96,tsr
artists,95,msc
real,94,msc
media,93,msc
chart,92,mscf
palestine,90,loc
edits,90,mscf
debut,89,msc
actually,88,tsr
official,88,mscf
please,87,msc
know,87,msc
industry,86,msc
acc,86,mscf
romantic,85,tsr
florida,84,tsr
forever,84,mscf
pittsburgh,84,loc
states,83,loc
people,82,mscf
culture,82,msc
carpenter,82,oa
lot,80,msc
make,80,msc
update,80,mscf
favorite,79,mscf
red,79,tsr
canada,79,loc
much,79,msc
day,79,msc
speak,77,tsr
welcome,76,msc
nyc,75,loc
priv,75,mscf
hope,74,msc
latest,73,msc
los,72,loc
contact,71,msc
reputation,70,tsr
nation,70,tsr
something,70,msc
millennial,68,msc
gaylors,68,tsr
global,68,msc
kingdom,67,mscf
toronto,66,loc
fun,66,msc
tortured,66,tsr
spotifyswiftie,66,tsr
mind,66,msc
olivia,65,oa
artist,65,msc
also,64,msc
travis,63,tsr
inquires,62,msc
via,62,mscf
content,62,mscf
miami,62,loc
defender,62,mscf
years,62,msc
gillette,62,tsr
midnights,61,tsr
sobre,61,oa
gay,61,msc
anything,60,msc
tweet,60,mscf
member,60,mscf
wins,60,mscf
org,59,msc
england,59,loc
anywhere,59,mscf
help,59,msc
chartdata,58,msc
poets,58,tsr
writer,58,msc
angeles,58,loc
heart,58,mscf
ontario,57,loc
probably,57,msc
albums,57,mscf
bts,57,oa
etc,57,msc
liked,56,mscf
evermore,56,tsr
order,56,msc
main,56,mscf
wife,56,msc
baby,56,msc
living,55,msc
pretty,55,msc
first,55,mscf
chicago,54,loc
nashville,54,loc
girlie,54,mscf
posts,54,mscf
singer,53,msc
department,53,tsr
nola,53,tsr
thoughts,53,mscf
worldwide,53,mscf
cat,52,msc
still,52,mscf
god,50,msc
gracie,50,oa
books,50,msc
sales,50,msc
sarcastic,49,mscf
lors,49,tsr
cardi,49,oa
currently,49,msc
trying,49,msc
musical,48,msc
emma,48,oa
tloas,48,tsr
fearless,48,tsr
stats,47,mscf
meeting,47,mscf
senior,47,mscf
private,47,mscf
britt,47,oa
songwriter,47,mscf
