phrase,count
showgirl,476
version,216
era,205
daughter,164
eldest,156
tay,141
chiefs,140
things,136
one,134
saw,133
miss,132
album,131
red,128
everything,128
actually,120
ifb,119
romantic,116
always,115
show,107
forever,106
1989,99
speak,94
know,93
florida,92
mind,91
day,89
hope,84
nola,82
nation,76
gaylors,75
kingdom,71
tortured,71
heart,69
travis,68
tnx1,67
gillette,65
tnx6,64
sobre,64
secret,61
ttpd,61
anywhere,59
dreaming,56
fearless,54
multifandom,54
department,54
tayvis,53
lors,50
tloas,50

